Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
Masha,,person,artist,"Amahara, author [person] ; Masha, artist [person]",019470213,Monograph,Language material ; Still image ; Text,Volume,GBB9C5100,9781975358211,Interspecies reviewers. Vol. 2,,,,United States of America,New York,,2019,,"1 volume, chiefly illustrations, 20 cm",741.5,,,Fantasy,English,Translated from the Japanese
Masha,,person,artist,"Amahara, author [person] ; Masha, artist [person]",019682631,Monograph,Language material ; Still image ; Text,Volume,GBC009187,9781975308148,Interspecies reviewers. Vol. 3,,,,United States of America,New York,,2020,,"127 pages, chiefly illustrations, 20 cm",741.5,,,Fantasy,English,Translated from the Japanese
Masha,,person,artist,"Amahara, author [person] ; Masha, artist [person]",019848694,Monograph,Language material ; Still image ; Text,Volume,GBC087675,9781975315283,Interspecies reviewers. Vol. 4,,,,United States of America,New York,,2020,,122 pages,741.5,,,Fantasy,English,Translated from the Japanese
Masha,,person,artist,"Amahara, author [person] ; Masha, artist [person]",020241878,Monograph,Language material ; Still image ; Text,Volume,GBC1A2827,9781975324278,Interspecies reviewers. Volume 5,,,,United States of America,New York,,2021,,"1 volume, chiefly illustrations",741.5,,,Fantasy,English,Translated from the Japanese
"Mashiba, Shin",,person,artist ; author,"Mashiba, Shin, artist ; author [person]",018591320,Monograph,Language material ; Still image ; Text,Volume,GBB7L1405,9781626926424,Yokai rental shop. Vol. 1,,,,United States of America,New York,Seven Seas,2018,,"1 volume, chiefly illustrations, 18 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashiba, Shin",,person,artist ; author,"Mashiba, Shin, artist ; author [person]",018636465,Monograph,Language material ; Still image ; Text,Volume,GBB7N3122,9781626927360,Yokai rental shop. Volume 2,,,,United States of America,New York,Seven Seas,2018,,"1 volume, chiefly illustrations, 18 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashiba, Shin",,person,artist ; author,"Mashiba, Shin, artist ; author [person]",018829991,Monograph,Language material ; Still image ; Text,Volume,GBB867190,9781626927902,Yokai rental shop. Volume 3,,,,United States of America,New York,Seven Seas,2018,,"1 volume, chiefly illustrations, 18 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashiba, Shin",,person,artist ; author,"Mashiba, Shin, artist ; author [person]",019040386,Monograph,Language material ; Still image ; Text,Volume,GBB8G3505,9781626929302,Yokai rental shop. Volume 4,,,,United States of America,New York,Seven Seas,2018,,"1 volume, chiefly illustrations, 18 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,,"Forsyth, Amy [person] ; Mashima, Hiro, 1977- [person] ; Jones, James Lucas [person]",006926359,Monograph,Language material ; Text,Volume,GBA4Y2935,,Rave master,Rave. English,,,England ; United States of America,"London ; Los Angeles, California",Tokyopop,2003-,,"volumes, chiefly illustrations, 19 cm",741.5952,YK.2006.a.3566 ; YK.2007.a.10449 ; YK.2007.a.4711 ; YK.2007.a.4712 ; YK.2007.a.5723 ; YK.2007.a.5724 ; YK.2007.a.5725 ; YK.2007.a.6459 ; YK.2007.a.8333 ; YK.2008.a.2866 ; YK.2008.a.4844 ; YK.2008.a.9128 ; YK.2010.a.16436,,Children's fiction ; Fantasy ; Novel,English,"'First published in Japan in 1999 by Kodansha Ltd, Tokyo'--Vol. 1, t.p. verso ; 'Printed manga-style in the authentic Japanese right-to-left format'--Colophon ; Translated from the Japanese ; Translators and adaptors vary"
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",014749911,Monograph,Language material ; Text,Volume,GBA8A7978,9781595320247,Rave master,,,,England ; United States of America,"London ; Los Angeles, California",Tokyopop,2008,,"1 volume, chiefly illustrations, 19 cm",741.5,,"Haru (Fictitious character)--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",014800066,Monograph,Language material ; Text,Volume,GBA8C8935,9781595320261,Rave master,,,,England ; United States of America,"London ; Los Angeles, California",Tokyopop,2009,,"1 volume, chiefly illustrations, 19 cm",741.5,,"Haru (Fictitious character)--Comic books, strips, etc--Juvenile fiction",Children's fiction ; Comic or graphic novel ; Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",015381658,Monograph,Language material ; Text,Volume,GBA995567,9781595326263,Ravemaster. Vol. 22,,,,England ; United States of America,"London ; Los Angeles, California",Tokyopop,2009,,"1 volume, chiefly illustrations",741.5,,,Children's fiction ; Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",015959737,Monograph,Language material ; Text,Volume,GBB1C6614,9781612620541,Fairy tail 17,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",015979194,Monograph,Language material ; Text,Volume,GBB1D7383,9781612620558,Fairy tail 18,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 20 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016005220,Monograph,Language material ; Text,Volume,GBB202332,9781612620565,Fairy tail 19,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016031229,Monograph,Language material ; Text,Volume,GBB215611,9781612620572,Fairy tail 20,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016068559,Monograph,Language material ; Text,Volume,GBB237699,9781612620589,Fairy tail 21,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016103385,Monograph,Language material ; Text,Volume,GBB257532,9781612620596,Fairy tail 22,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016156963,Monograph,Language material ; Text,Volume,GBB285478,9781612622767,Fairy tail. Volume 1,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016156964,Monograph,Language material ; Text,Volume,GBB285479,9781612622774,Fairy tail. Volume 2,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016156965,Monograph,Language material ; Text,Volume,GBB285480,9781612622781,Fairy tail. Volume 3,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016156966,Monograph,Language material ; Text,Volume,GBB285481,9781612622798,Fairy tail. Volume 4,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016156967,Monograph,Language material ; Text,Volume,GBB285482,9781612622804,Fairy tail. Volume 9,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016156968,Monograph,Language material ; Text,Volume,GBB285483,9781612622811,Fairy tail. Volume 10,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016156969,Monograph,Language material ; Text,Volume,GBB285484,9781612622828,Fairy tail. Volume 11,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2012,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016163463,Monograph,Language material ; Text,Volume,GBB289009,9781612620602,Fairy tail 23,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2013,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016205904,Monograph,Language material ; Text,Volume,GBB2B2249,9781612622668,Fairy tail 24,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2013,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016225678,Monograph,Language material ; Text,Volume,GBB2C2950,9781612622682,Fairy tail 26,,,,England ; United States of America,London ; New York,Kodansha ; Turnaround,2013,,"1 volume, chiefly illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016257245,Monograph,Language material ; Still image ; Text,Volume,GBB306300,9781612622699,Fairy tail 27,,,,United States of America,New York,Kodansha,2013,,"1 volume, black and white illustrations, 19 cm",741.5,,,Fantasy,English,
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016270602,Monograph,Language material ; Still image ; Text,Volume,GBB311774,9781612622705,Fairy tail 28,,,,United States of America,New York,Kodansha,2013,,"1 volume, chiefly black and white illustrations, 19 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,,"Mashima, Hiro, 1977- [person]",016295037,Monograph,Language material ; Still image ; Text,Volume,GBB320058,9781612624068,Fairy tail 29,,,,United States of America,New York,Kodansha,2013,,"1 volume, chiefly black and white illustrations, 19 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,,"Shibano, Kyouta, author [person] ; Mashima, Hiro, 1977- [person]",018037957,Monograph,Language material ; Still image ; Text,Volume,GBB6D6338,9781632363596,Twin dragons of Sabertooth,,Fairy tail,,United States of America,New York,Kodansha Comics,2016,,"1 volume, chiefly black and white illustrations, 20 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person] ; Watanabe, Rui, author [person]",017471521,Monograph,Language material ; Still image ; Text,Volume,GBB5A5123,9781632361844,Fairy girls,,,,United States of America,New York,Kodansha Comics,2015,,"1 volume, chiefly black and white illustrations, 20 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person]",016317882,Monograph,Language material ; Still image ; Text,Volume,GBB337976,9781612622675,Fairy tail 25,,,,United States of America,New York,Kodansha,2013,,"1 volume, chiefly black and white illustrations, 19 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person]",016597981,Monograph,Language material ; Still image ; Text,Volume,GBB403205,9781612624327,Fairy tail. 36,,,,United States of America,New York,Kodansha Comics,2014,,"1 volume, chiefly black and white illustrations, 19 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person]",016612672,Monograph,Language material ; Still image ; Text,Volume,GBB410911,9781612624334,Fairy tail. 37,,,,United States of America,New York,Kodansha Comics,2014,,"1 volume, chiefly black and white illustrations, 19 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person]",016644376,Monograph,Language material ; Still image ; Text,Volume,GBB425628,9781612624341,Fairy tail. 38,,,,United States of America,New York,Kodansha Comics,2014,,"1 volume, chiefly black and white illustrations, 19 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person]",016644378,Monograph,Language material ; Still image ; Text,Volume,GBB425630,9781612625898,Monster Soul. 1,,,,United States of America,New York,Kodansha Comics,2014,,"1 volume, chiefly black and white illustrations, 19 cm",741.5,,,Fantasy ; Young adult fiction,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person]",016684121,Monograph,Language material ; Still image ; Text,Volume,GBB439137,9781612624167,Fairy tail. 39,,,,United States of America,New York,Kodansha Comics,2014,,"1 volume, chiefly black and white illustrations, 19 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person]",016714862,Monograph,Language material ; Still image ; Text,Volume,GBB451378,9781612624174,Fairy tail. 40,,,,United States of America,New York,Kodansha Comics,2014,,"1 volume, chiefly black and white illustrations, 20 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person]",016733861,Monograph,Language material ; Still image ; Text,Volume,GBB457341,9781612624372,Fairy tail. 41,,,,United States of America,New York,Kodansha Comics,2014,,"1 volume, chiefly black and white illustrations, 20 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person]",016761507,Monograph,Language material ; Still image ; Text,Volume,GBB465725,9781612625904,Monster Soul. 2,,,,United States of America,New York,Kodansha Comics,2014,,"1 volume, chiefly black and white illustrations, 19 cm",741.5,,,Fantasy ; Young adult fiction,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person]",016801997,Monograph,Language material ; Still image ; Text,Volume,GBB478041,9781612625614,Fairy tail. 42,,,,United States of America,New York,Kodansha Comics,2014,,"1 volume, chiefly black and white illustrations, 20 cm",741.5,,,Fantasy,English,Translated from the Japanese
"Mashima, Hiro",1977-,person,artist ; author,"Mashima, Hiro, 1977-, artist ; author [person]",016838964,Monograph,Language material ; Still image ; Text,Volume,GBB490700,9781612625621,Fairy tail. 43,,,,United States of America,New York,Kodansha Comics,2014,,"1 volume, chiefly black and white illustrations, 20 cm",741.5,,,Fantasy,English,Translated from the Japanese
